movie_title;actor_1;actor_2;actor_3;actor_4;actor_5;actor_6;actor_7;actor_8;actor_9;actor_10
From Dusk Till Dawn;George Clooney;Quentin Tarantino;Harvey Keitel;Juliette Lewis;Ernest Liu;Salma Hayek;Cheech Marin;Danny Trejo;Tom Savini;Fred Williamson
Pooh's Heffalump Movie;Jim Cummings;John Fiedler;Nikita Hopkins;Kath Soucie;Ken Sansom;Peter Cullen;Brenda Blethyn;Kyle Stanger;;
Home for the Holidays;Holly Hunter;Robert Downey Jr.;Anne Bancroft;Charles Durning;Claire Danes;Dylan McDermott;Geraldine Chaplin;Steve Guttenberg;David Strathairn;Cynthia Stevenson
Kung Fu Hustle;Stephen Chow;Yuen Wah;Yuen Qiu;Lam Tze-Chung;Huang Sheng-Yi;Dung Chi-Wa;Chiu Chi-Ling;Xing Yu;Danny Chan Kwok-Kwan;Bruce Leung Siu-Lung
The Country Bears;Haley Joel Osment;Diedrich Bader;Candy Ford;James Gammon;Brad Garrett;Toby Huss;Kevin Michael Richardson;Stephen Root;Christopher Walken;Stephen Tobolowsky
The Kite Runner;Khalid Abdalla;Atossa Leoni;Shaun Toub;Zekeria Ebrahimi;Ahmad Khan Mahmoodzada;Ali Danish Bakhty Ari;Elham Ehsas;Homayoun Ershadi;Nabi Tanha;Bahram Ehsas
21 Grams;Sean Penn;Naomi Watts;Benicio del Toro;Danny Huston;Carly Nahon;Claire Pakis;Eddie Marsan;Melissa Leo;Charlotte Gainsbourg;Clea DuVall
Paparazzi;Cole Hauser;Robin Tunney;Dennis Farina;Daniel Baldwin;Tom Sizemore;Tom Hollander;Chris Rock;Mel Gibson;Matthew McConaughey;Vince Vaughn
A Guy Thing;Jason Lee;Julia Stiles;Selma Blair;James Brolin;Shawn Hatosy;Lochlyn Munro;Diana Scarwid;David Koechner;Julie Hagerty;Thomas Lennon
Loser;Jason Biggs;Mena Suvari;Zak Orth;Thomas Sadoski;Jimmi Simpson;Greg Kinnear;Dan Aykroyd;Twink Caplan;Bobby Slayton;Mollie Israel
The Greatest Story Ever Told;Max von Sydow;Michael Anderson Jr.;Carroll Baker;Ina Balin;Victor Buono;Richard Conte;Joanna Dunham;Van Heflin;Charlton Heston;Martin Landau
Disaster Movie;Matt Lanter;Vanessa Lachey;Nicole Ari Parker;Crista Flanagan;Gary 'G. Thang' Johnson;Ike Barinholtz;Carmen Electra;Tony Cox;Tad Hilgenbrink;Nick Steele
Armored;Columbus Short;Laurence Fishburne;Skeet Ulrich;Amaury Nolasco;Matt Dillon;Jean Reno;Fred Ward;Milo Ventimiglia;Andre Kinney;Andrew Fiscella
The Man Who Knew Too Little;Bill Murray;Peter Gallagher;Joanne Whalley;Alfred Molina;Richard Wilson;Geraldine James;John Standing;Anna Chancellor;Nicholas Woodeson;Simon Chandler
What's Your Number?;Chris Evans;Anna Faris;Martin Freeman;Chris Pratt;Ari Graynor;Blythe Danner;Ed Begley Jr.;Dave Annable;Joel McHale;Zachary Quinto
Lockout;Guy Pearce;Maggie Grace;Joseph Gilgun;Lennie James;Peter Stormare;Vincent Regan;Jacky Ido;Yan Dron;Tim Plester;Nick Harding
Envy;Ben Stiller;Jack Black;Rachel Weisz;Christopher Walken;Amy Poehler;Ariel Gade;Sam Lerner;Lily Jackson;Connor Matheus;Hector Elias
Crank: High Voltage;Jason Statham;Amy Smart;Dwight Yoakam;Efren Ramirez;Julanne Chidi Hill;Jose Pablo Cantillo;Reno Wilson;Keone Young;Art Hsu;Joseph Julian Soria
Bullets Over Broadway;John Cusack;Dianne Wiest;Jennifer Tilly;Chazz Palminteri;Mary-Louise Parker;Jack Warden;Rob Reiner;Tracey Ullman;Joe Viterelli;Jim Broadbent
One Night with the King;Tiffany Dupont;Peter O'Toole;Luke Goss;John Noble;Omar Sharif;John Rhys-Davies;James Callis;Tom Lister Jr.;Javen Campbell;Jyoti Dogra
The Quiet American;Michael Caine;Brendan Fraser;Tzi Ma;Rade Serbedzija;Robert Stanton;Holmes Osborne;Quang Hai;Ferdinand Hoang;Pham Thi Mai Hoa;Mathias Mlekuz
The Weather Man;Nicolas Cage;Michael Caine;Hope Davis;Nicholas Hoult;Michael Rispoli;Gil Bellows;Judith McConnell;Chris Marrs;Bryant Gumbel;Ed McMahon
Undisputed;Wesley Snipes;Ving Rhames;Peter Falk;Michael Rooker;Jon Seda;Ken Medlock;Wes Studi;Fisher Stevens;Dayton Callie;Amy Aquino
Ghost Town;Ricky Gervais;Greg Kinnear;Billy Campbell;Jordan Carlos;DeQuina Moore;Joseph Badalucco Jr.;Brian Hutchison;Julia K. Murney;Claire Lautier;Aasif Mandvi
12 Rounds;John Cena;Aidan Gillen;Ashley Scott;Steve Harris;Brian J. White;Gonzalo Menendez;Taylor Cole;Kyle Russell Clements;Peter 'Navy' Tuiasosopo;Travis Davis
Let Me In;Kodi Smit-McPhee;Richard Jenkins;Elias Koteas;Sasha Barrese;Dylan Kenin;Dylan Minnette;Jimmy 'Jax' Pinchak;Nicolai Dorian;Seth Adkins;Ritchie Coster
3 Ninjas Kick Back;Victor Wong;Max Elliott Slade;Sean Fox;J. Evan Bonifant;Caroline Junko King;Dustin Nguyen;Alan McRae;Margarita Franco;Jason Schombing;Angelo Tiffe
Be Kind Rewind;Jack Black;Yasiin Bey;Danny Glover;Mia Farrow;Marcus Carl Franklin;Arjay Smith;Paul Dinello;Melonie Diaz;Sigourney Weaver;
Mrs Henderson Presents;Judi Dench;Bob Hoskins;Will Young;Christopher Guest;Kelly Reilly;Thelma Barlow;Natalia Tena;Sarah Solemani;Toby Jones;Samuel Barnett
Triple 9;Casey Affleck;Chiwetel Ejiofor;Woody Harrelson;Kate Winslet;Anthony Mackie;Aaron Paul;Norman Reedus;Gal Gadot;Teresa Palmer;Clifton Collins Jr
Deconstructing Harry;Woody Allen;Kirstie Alley;Billy Crystal;Judy Davis;Caroline Aaron;Eric Bogosian;Amy Irving;Mariel Hemingway;Elisabeth Shue;Richard Benjamin
Three to Tango;Matthew Perry;Neve Campbell;Dylan McDermott;Oliver Platt;Cylk Cozart;John C. McGinley;Bob Balaban;Deborah Rush;Kelly Rowan;Rick Gomez
Burnt;Bradley Cooper;Sienna Miller;Lily James;Alicia Vikander;Uma Thurman;Emma Thompson;Matthew Rhys;Sarah Greene;Omar Sy;Sam Keeley
We're No Angels;Robert De Niro;Sean Penn;Demi Moore;Hoyt Axton;Bruno Kirby;Ray McAnally;James Russo;Wallace Shawn;John C. Reilly;Bill Murdoch
Everyone Says I Love You;Drew Barrymore;Diva Gray;Natasha Lyonne;Edward Norton;Woody Allen;Goldie Hawn;Alan Alda;Julia Roberts;Tim Roth;Natalie Portman
Death Sentence;Kevin Bacon;Garrett Hedlund;Kelly Preston;Jordan Garrett;John Goodman;Aisha Tyler;Stuart Lafferty;Matt O'Leary;Edi Gathegi;Hector Atreyu Ruiz
Everybody's Fine;Robert De Niro;Drew Barrymore;Kate Beckinsale;Sam Rockwell;Melissa Leo;Damian Young;James Frain;Katherine Moennig;Brendan Sexton III;James Murtaugh
Superbabies: Baby Geniuses 2;Jon Voight;Scott Baio;Vanessa Angel;Skyler Shaye;Whoopi Goldberg;Justin Chatwin;Peter Wingfield;Erik-Michael Estrada;;
The Man;Samuel L. Jackson;Eugene Levy;Luke Goss;Miguel Ferrer;Susie Essman;Anthony Mackie;Gigi Rice;Rachael Crawford;Philip Akin;Christopher Murray
Code Name: The Cleaner;Cedric the Entertainer;Lucy Liu;Nicollette Sheridan;Mark Dacascos;Callum Keith Rennie;Niecy Nash;DeRay Davis;Kevin McNulty;Bart Anderson;Tom Butler
Connie and Carla;Nia Vardalos;Toni Collette;David Duchovny;Stephen Spinella;Alec Mapa;Ian Gomez;Nick Sandow;Dash Mihok;Robert John Burke;Boris McGiver
Inherent Vice;Joaquin Phoenix;Josh Brolin;Owen Wilson;Katherine Waterston;Reese Witherspoon;Benicio del Toro;Jena Malone;Maya Rudolph;Martin Short;Martin Donovan
Doogal;Daniel Tay;Jimmy Fallon;Jon Stewart;Whoopi Goldberg;William H. Macy;Bill Hader;Judi Dench;Chevy Chase;Kylie Minogue;Ian McKellen
Battle of the Year;Josh Holloway;Josh Peck;Chris Brown;Laz Alonso;Caity Lotz;Terrence Jenkins;Weronika Rosati;Ivan 'Flipz' Velez;Jesse Erwin;Steve Terada
An American Carol;Kevin Farley;Kelsey Grammer;Leslie Nielsen;Trace Adkins;Robert Davi;Geoffrey Arend;Travis Schuldt;Jon Voight;James Woods;Dennis Hopper
Machete Kills;Danny Trejo;Mel Gibson;Amber Heard;Michelle Rodriguez;Jessica Alba;Tom Savini;Lady Gaga;Vanessa Hudgens;Cuba Gooding Jr.;Charlie Sheen
Willard;Crispin Glover;R. Lee Ermey;Laura Harring;Jackie Burroughs;Ashlyn Gere;William S. Taylor;;;;
Strange Wilderness;Steve Zahn;Allen Covert;Jonah Hill;Kevin Heffernan;Ashley Scott;Peter Dante;Harry Hamlin;Robert Patrick;Joe Don Baker;Blake Clark
Topsy-Turvy;Allan Corduner;Jim Broadbent;Timothy Spall;Dexter Fletcher;Shirley Henderson;Ron Cook;Andy Serkis;Lesley Manville;Wendy Nottingham;Kevin McKidd
A Dangerous Method;Keira Knightley;Viggo Mortensen;Michael Fassbender;Sarah Gadon;Vincent Cassel;Arndt Schwering-Sohnrey;Franziska Arndt;Wladimir Matuchin;Anna Thalbach;Sarah Marecek
A Scanner Darkly;Keanu Reeves;Winona Ryder;Woody Harrelson;Robert Downey Jr.;Mitch Baker;Steven Chester Prince;Natasha Valdez;Angela Rawna;Chamblee Ferguson;Melody Chase
Chasing Mavericks;Gerard Butler;Jonny Weston;Elisabeth Shue;Abigail Spencer;Leven Rambin;Taylor Handley;Channon Roe;Jenica Bergere;Cooper Timberline;Harley Graham
Alone in the Dark;Christian Slater;Tara Reid;Stephen Dorff;Frank C. Turner;Matthew Walker;Will Sanderson;Mark Acheson;Darren Shahlavi;Karin Konoval;Craig Bruhnanski
Bandslam;Vanessa Hudgens;Aly Michalka;Gaelan Connell;Lisa Kudrow;Scott Porter;Ryan Donowho;Charlie Saxton;Tim Jo;Elvy Yost;Lisa Chung
Birth;Nicole Kidman;Cameron Bright;Danny Huston;Lauren Bacall;Alison Elliott;Anne Heche;Peter Stormare;Ted Levine;Cara Seymour;Arliss Howard
A Most Violent Year;Oscar Isaac;Jessica Chastain;Albert Brooks;Elyes Gabel;David Oyelowo;Alessandro Nivola;Catalina Sandino Moreno;Peter Gerety;Ashley Williams;John Procaccino
Flash of Genius;Aaron Abrams;Alan Alda;Lauren Graham;Greg Kinnear;Tatiana Maslany;Tim Kelleher;Jake Abel;;;
I'm Not There.;Cate Blanchett;Heath Ledger;Julianne Moore;Ben Whishaw;Charlotte Gainsbourg;Michelle Williams;Christian Bale;Marcus Carl Franklin;Richard Gere;David Cross
The Cold Light of Day;Henry Cavill;Sigourney Weaver;Bruce Willis;Caroline Goodall;Jim Piddock;Rafi Gavron;Joseph Mawle;Emma Hamilton;Michael Budd;Andrea Ros
The Brothers Bloom;Rachel Weisz;Adrien Brody;Mark Ruffalo;Rinko Kikuchi;Robbie Coltrane;Maximilian Schell;Ricky Jay;Zachary Gordon;Max Records;Andy Nyman
Synecdoche, New York;Philip Seymour Hoffman;Samantha Morton;Jennifer Jason Leigh;Michelle Williams;Catherine Keener;Emily Watson;Tom Noonan;Sadie Goldstein;Hope Davis;Dianne Wiest
Princess Mononoke;Yuriko Ishida;Kaoru Kobayashi;Masahiko Nishimura;Sumi Shimamoto;Tetsu Watanabe;Akira Nagoya;Akihiro Miwa;Mitsuko Mori;Hisaya Morishige;Takako Fuji
Bon voyage;Isabelle Adjani;Virginie Ledoyen;Yvan Attal;Peter Coyote;Edith Scob;Wolfgang Pissors;;;;
Can't Stop the Music;Alex Briley;David Hodo;Glenn Hughes;Randy Jones;Felipe Rose;Ray Simpson;Valerie Perrine;Caitlyn Jenner;Steve Guttenberg;Tammy Grimes
The Proposition;;;;;;;;;;
Marci X;Lisa Kudrow;Damon Wayans;Richard Benjamin;Jane Krakowski;Christine Baranski;;;;;
Equilibrium;Christian Bale;Taye Diggs;Emily Watson;Angus Macfadyen;Sean Bean;Dominic Purcell;Christian Kahrmann;Sean Pertwee;William Fichtner;John Keogh
The Children of Huang Shi;Jonathan Rhys Meyers;Radha Mitchell;Chow Yun-fat;Michelle Yeoh;;;;;;
The Yards;Mark Wahlberg;Joaquin Phoenix;Charlize Theron;James Caan;Ellen Burstyn;Faye Dunaway;Andy Davoli;Tony Musante;Victor Argo;Robert Montano
By the Sea;Angelina Jolie;Brad Pitt;Melvil Poupaud;Niels Arestrup;Richard Bohringer;Sarah Naudi;Marika Green;Aldo Buontempo;George Camilleri;Philippe Martinet
Steamboy;Anne Suzuki;Masane Tsukayama;Katsuo Nakamura;Manami Konishi;Kiyoshi Kodama;Ikki Sawamura;Susumu Terajima;;;
The Game of Their Lives;Gerard Butler;Wes Bentley;Gavin Rossdale;Costas Mandylor;Louis Mandylor;Zachery Ty Bryan;Jimmy Jean-Louis;;;
Rapa Nui;Jason Scott Lee;Esai Morales;Sandrine Holt;Eru Potaka-Dewes;Emilio Tuki Hito;Gordon Hatfield;Frenxa Reuben;Hori Ahipene;Chiefy Elkington;Ruihana Rewa
Dylan Dog: Dead of Night;Brandon Routh;Peter Stormare;Sam Huntington;Taye Diggs;Anita Briem;Kurt Angle;Andrew Sensenig;Randal Reeder;Courtney J. Clark;Gabrielle Chapin
People I Know;Al Pacino;Kim Basinger;Ryan O'Neal;Jonathan Walker;Richard Schiff;Bill Nunn;Robert Klein;Mark Webber;Peter Gerety;Regis Philbin
The Tempest;Helen Mirren;Felicity Jones;Reeve Carney;David Strathairn;Tom Conti;Alfred Molina;Djimon Hounsou;Russell Brand;Alan Cumming;Chris Cooper
The Painted Veil;Edward Norton;Juliet Howland;Naomi Watts;Ian Renwick;Liev Schreiber;Toby Jones;Diana Rigg;Zoe Telford;Anthony Wong;Marie-Laure Descoureaux
The Baader Meinhof Complex;Martina Gedeck;Moritz Bleibtreu;Johanna Wokalek;Nadja Uhl;Stipe Erceg;Niels-Bruno Schmidt;Vinzenz Kiefer;Simon Licht;Alexandra Maria Lara;Bruno Ganz
Dances with Wolves;Kevin Costner;Mary McDonnell;Graham Greene;Rodney A. Grant;Floyd Red Crow Westerman;Tantoo Cardinal;Robert Pastorelli;Charles Rocket;Maury Chaykin;Jimmy Herman
Bad Teacher;Cameron Diaz;Jason Segel;Justin Timberlake;Lucy Punch;Phyllis Smith;John Michael Higgins;Jillian Armenante;Dave Allen;Matthew J. Evans;Kaitlyn Dever
Sea of Love;Al Pacino;Ellen Barkin;John Goodman;Michael Rooker;William Hickey;Richard Jenkins;Paul Calderon;John Spencer;Mark Phelan;Samuel L. Jackson
A Cinderella Story;Hilary Duff;Jennifer Coolidge;Chad Michael Murray;Dan Byrd;Regina King;Julie Gonzalo;Lin Shaye;Madeline Zima;Andrea Avery;Mary Pat Gleason
Scream;David Arquette;Neve Campbell;Courteney Cox;Matthew Lillard;Rose McGowan;Skeet Ulrich;Drew Barrymore;Jamie Kennedy;W. Earl Brown;Joseph Whipp
Thir13en Ghosts;Tony Shalhoub;Embeth Davidtz;Matthew Lillard;Shannon Elizabeth;Matthew Harrison;Alec Roberts;Rah Digga;F. Murray Abraham;JR Bourne;Jacob Rupp
Back to the Future;Michael J. Fox;Christopher Lloyd;Lea Thompson;Crispin Glover;Thomas F. Wilson;Claudia Wells;Marc McClure;Wendie Jo Sperber;George DiCenzo;Frances Lee McCain
House on Haunted Hill;Geoffrey Rush;Famke Janssen;Taye Diggs;Peter Gallagher;Chris Kattan;Ali Larter;Bridgette Wilson;Max Perlich;Jeffrey Combs;Dick Beebe
The Switch;Jason Bateman;Jennifer Aniston;Jeff Goldblum;Juliette Lewis;Todd Louiso;Jason Jones;Scott Elrod;Patrick Wilson;Kelli Barrett;Thomas Robinson
Just Married;Ashton Kutcher;Brittany Murphy;Christian Kane;David Moscow;Alex Thomas;Valeria Andrews;Monet Mazur;David Rasche;Thad Luckinbill;David Agranov
The Devil's Double;Dominic Cooper;Ludivine Sagnier;Raad Rawi;Mehmet Ferda;Philip Quast;Khalid Laith;Nasser Memarzia;Dar Salim;Pano Masti;Stewart Scudamore
Thomas and the Magic Railroad;Alec Baldwin;Peter Fonda;Mara Wilson;;;;;;;
The Crazies;Timothy Olyphant;Radha Mitchell;Joe Anderson;Danielle Panabaker;Christie Lynn Smith;Brett Rickaby;Preston Bailey;John Aylward;Joe Reegan;Glenn Morshower
Spirited Away;Rumi Hiiragi;Miyu Irino;Mari Natsuki;Takashi Naito;Yasuko Sawaguchi;Yumi Tamai;Yo Oizumi;Koba Hayashi;Takehiko Ono;Ryunosuke Kamiki
The Bounty;Mel Gibson;Anthony Hopkins;Laurence Olivier;Edward Fox;Daniel Day-Lewis;Bernard Hill;Phil Davis;Liam Neeson;Wi Kuki Kaa;Tevaite Vernette
The Book Thief;Geoffrey Rush;Emily Watson;Nico Liersch;Ben Schnetzer;Heike Makatsch;Barbara Auer;Roger Allam;Rainer Bock;Gotthard Lange;Rainer Reiners
Sex Drive;Josh Zuckerman;Amanda Crew;Clark Duke;James Marsden;Seth Green;Alice Greczyn;Katrina Bowden;Mark L. Young;Charlie McDermott;Andrea Anders
Leap Year;Amy Adams;Matthew Goode;Adam Scott;John Lithgow;Flaminia Cinque;Tony Rohr;Pat Laffan;Ian McElhinney;Dominique McElligott;Kaitlin Olson
Take Me Home Tonight;Topher Grace;Anna Faris;Dan Fogler;Teresa Palmer;Michelle Trachtenberg;Michael Biehn;Chris Pratt;Jeanie Hackett;Lucy Punch;Demetri Martin
The Nutcracker;Darci Kistler;Damian Woetzel;Bart Robinson Cook;Kyra Nichols;Jessica Lynn Cohen;Macaulay Culkin;;;;
Kansas City;Jennifer Jason Leigh;Miranda Richardson;Harry Belafonte;Michael Murphy;Dermot Mulroney;Steve Buscemi;Brooke Smith;Jane Adams;;
The Amityville Horror;Ryan Reynolds;Melissa George;Jesse James;Jimmy Bennett;Rachel Nichols;Philip Baker Hall;Isabel Conner;Brendan Donaldson;David Gee;Rich Komenich
Adaptation.;Nicolas Cage;Meryl Streep;Chris Cooper;Tilda Swinton;Cara Seymour;Ron Livingston;Brian Cox;Maggie Gyllenhaal;Jay Tavare;Jim Beaver
Land of the Dead;Simon Baker;John Leguizamo;Dennis Hopper;Robert Joy;Asia Argento;Eugene Clark;Joanne Boland;Tony Nappo;Jennifer Baxter;Boyd Banks
Fear and Loathing in Las Vegas;Johnny Depp;Benicio del Toro;Tobey Maguire;Christina Ricci;Ellen Barkin;Gary Busey;Cameron Diaz;Mark Harmon;Katherine Helmond;Michael Jeter
The Invention of Lying;Ricky Gervais;Jennifer Garner;Jonah Hill;Louis C.K.;Jeffrey Tambor;Fionnula Flanagan;Rob Lowe;Tina Fey;Stephanie March;Ruben Santiago-Hudson
Neighbors;Seth Rogen;Zac Efron;Rose Byrne;Dave Franco;Ike Barinholtz;Christopher Mintz-Plasse;Carla Gallo;Halston Sage;Craig Roberts;Hannibal Buress
The Mask;Jim Carrey;Cameron Diaz;Nancy Fish;Tim Bagley;Johnny Williams;Peter Riegert;Peter Greene;Amy Yasbeck;Richard Jeni;Orestes Matacena
Big;Tom Hanks;Elizabeth Perkins;Robert Loggia;John Heard;Jared Rushton;David Moscow;Jon Lovitz;Mercedes Ruehl;Josh Clark;Allan Wasserman
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan;Sacha Baron Cohen;Ken Davitian;Luenell;Pamela Anderson;Bob Barr;Alan Keyes;Carole De Saram;Mitchell Falk;David Corcoran;Andre Darnell Myers
Legally Blonde;Reese Witherspoon;Luke Wilson;Selma Blair;Matthew Davis;Victor Garber;Jennifer Coolidge;Holland Taylor;Ali Larter;Jessica Cauffiel;Alanna Ubach
Star Trek III: The Search for Spock;William Shatner;Leonard Nimoy;DeForest Kelley;James Doohan;George Takei;Walter Koenig;Nichelle Nichols;Merritt Butrick;Christopher Lloyd;Robin Curtis
The Exorcism of Emily Rose;Laura Linney;Tom Wilkinson;Campbell Scott;Jennifer Carpenter;Kenneth Welsh;Mary Beth Hurt;Colm Feore;Henry Czerny;Shohreh Aghdashloo;Duncan Fraser
Deuce Bigalow: Male Gigolo;Rob Schneider;William Forsythe;Eddie Griffin;Arija Bareikis;Oded Fehr;Gail O'Grady;Richard Riehle;Jacqueline Obradors;Big Boy;Amy Poehler
Left Behind;Nicolas Cage;Chad Michael Murray;Lea Thompson;Nicky Whelan;Martin Klebba;Quinton Aaron;Jordin Sparks;Gary Grubbs;William Ragsdale;Lolo Jones
The Family Stone;Claire Danes;Diane Keaton;Rachel McAdams;Dermot Mulroney;Sarah Jessica Parker;Luke Wilson;Craig T. Nelson;Brian J. White;Tyrone Giordano;Elizabeth Reaser
Bad Santa;Billy Bob Thornton;Tony Cox;Brett Kelly;Bernie Mac;John Ritter;Lauren Graham;Lauren Tom;Octavia Spencer;Cloris Leachman;Lorna Scott
Austin Powers: International Man of Mystery;Mike Myers;Elizabeth Hurley;Michael York;Mimi Rogers;Seth Green;Fabiana Udenio;Mindy Sterling;Paul Dillon;Robert Wagner;Charles Napier
My Big Fat Greek Wedding 2;John Corbett;Elena Kampouris;Nia Vardalos;Ian Gomez;John Stamos;Alex Wolff;Lainie Kazan;Rita Wilson;Andrea Martin;Louis Mandylor
Diary of a Wimpy Kid: Rodrick Rules;Zachary Gordon;Devon Bostick;Rachael Harris;Robert Capron;Steve Zahn;Connor Fielding;Owen Fielding;Peyton List;Karan Brar;Fran Kranz
Predator;;;;;;;;;;
Amadeus;F. Murray Abraham;Tom Hulce;Elizabeth Berridge;Roy Dotrice;Simon Callow;Christine Ebersole;Jeffrey Jones;Barbara Bryne;Cynthia Nixon;Douglas Seale
Prom Night;Brittany Snow;Scott Porter;Jessica Stroup;Dana Davis;Kelly Blatz;Collins Pennie;Johnathon Schaech;Idris Elba;Ming-Na Wen;Jessalyn Gilsig
Mean Girls;Lindsay Lohan;Rachel McAdams;Tim Meadows;Ana Gasteyer;Amy Poehler;Tina Fey;Lacey Chabert;Lizzy Caplan;Amanda Seyfried;Jonathan Bennett
Under the Tuscan Sun;Diane Lane;Sandra Oh;Lindsay Duncan;Raoul Bova;Vincent Riotta;Mario Monicelli;Roberto Nobile;Anita Zagaria;Evelina Gori;Kate Walsh
Gosford Park;Helen Mirren;Clive Owen;Maggie Smith;Geraldine Somerville;Jeremy Northam;Kristin Scott Thomas;Tom Hollander;Michael Gambon;Kelly Macdonald;Eileen Atkins
Peggy Sue Got Married;Kathleen Turner;Nicolas Cage;Barry Miller;Catherine Hicks;Joan Allen;Jim Carrey;Barbara Harris;Sofia Coppola;Helen Hunt;Maureen O'Sullivan
Blue Jasmine;Cate Blanchett;Alec Baldwin;Sally Hawkins;Bobby Cannavale;Louis C.K.;Peter Sarsgaard;Andrew Dice Clay;Michael Stuhlbarg;Alden Ehrenreich;Charlie Tahan
United 93;J.J. Johnson;Polly Adams;Trish Gates;Nancy McDoniel;Opal Alladin;Gary Commock;Starla Benford;Susan Blommaert;David Alan Basche;Richard Bekins
Honey;Jessica Alba;Mekhi Phifer;Joy Bryant;Romeo Miller;David Moscow;Zachary Isaiah Williams;Missy Elliott;Anthony Sherwood;Lonette McKee;Maestro
Spy Hard;Leslie Nielsen;Nicollette Sheridan;Charles Durning;Marcia Gay Harden;Barry Bostwick;Andy Griffith;Stephanie Romanov;Talisa Soto;Robert Guillaume;Carl Ciarfalio
The Fog;Adrienne Barbeau;Jamie Lee Curtis;Janet Leigh;John Houseman;Tom Atkins;James Canning;Charles Cyphers;Nancy Kyes;Ty Mitchell;Hal Holbrook
Soul Surfer;AnnaSophia Robb;Helen Hunt;Lorraine Nicholson;Carrie Underwood;Dennis Quaid;Kevin Sorbo;Ross Thomas;Chris Brochu;Jeremy Sumter;Sonya Balmores Chung
Observe and Report;Seth Rogen;Anna Faris;Ray Liotta;Collette Wolfe;Danny McBride;Aziz Ansari;Celia Weston;Dan Bakkedahl;Jesse Plemons;Eddie Rouse
Conan the Destroyer;Arnold Schwarzenegger;Grace Jones;Wilt Chamberlain;Tracey Walter;Mako;Sarah Douglas;Olivia d'Abo;Pat Roach;Jeff Corey;Sven-Ole Thorsen
Raging Bull;Robert De Niro;Joe Pesci;Cathy Moriarty;Frank Vincent;Nicholas Colasanto;Theresa Saldana;Mario Gallo;John Turturro;Frank Adonis;Charles Scorsese
Love Happens;Aaron Eckhart;Jennifer Aniston;Judy Greer;Martin Sheen;Deirdre Blades;John Carroll Lynch;Dan Fogler;Sasha Alexander;Frances Conroy;Joe Anderson
Young Sherlock Holmes;Nicholas Rowe;Alan Cox;Sophie Ward;Anthony Higgins;Susan Fleetwood;Matthew Ryan;Earl Rhodes;;;
Fame;Kay Panabaker;Naturi Naughton;Kherington Payne;Megan Mullally;Walter Perez;Asher Book;Krystal Ellsworth;Anna Maria Perez de Tagle;;
127 Hours;James Franco;Kate Mara;Amber Tamblyn;Lizzy Caplan;Kate Burton;Treat Williams;Sean Bott;Koleman Stinger;Parker Hadley;Bailee Michelle Johnson
Small Time Crooks;Woody Allen;Carolyn Saxon;Tracey Ullman;Michael Rapaport;Tony Darrow;Jon Lovitz;Bill Gerber;Sam Josepher;Diane Bradley;Lawrence Howard Levy
Center Stage;Amanda Schull;Zoe Saldana;Susan May Pratt;Peter Gallagher;Scottie Thompson;;;;;
Love the Coopers;Steve Martin;Diane Keaton;John Goodman;Alan Arkin;Olivia Wilde;Ed Helms;Amanda Seyfried;Marisa Tomei;Jake Lacy;Anthony Mackie
Catch That Kid;Kristen Stewart;Corbin Bleu;Max Thieriot;Jennifer Beals;Sam Robards;John Carroll Lynch;James Le Gros;Michael Des Barres;Stark Sands;Lennie Loftin
Life as a House;Kevin Kline;Kristin Scott Thomas;Hayden Christensen;Jena Malone;Mary Steenburgen;Ian Somerhalder;Scott Bakula;Sandra Nelson;Sam Robards;
Steve Jobs;Michael Fassbender;Kate Winslet;Seth Rogen;Katherine Waterston;Jeff Daniels;Michael Stuhlbarg;Makenzie Moss;Sarah Snook;Adam Shapiro;John Ortiz
I Love You, Beth Cooper;Hayden Panettiere;Paul Rust;Lauren London;Lauren Storm;Jack Carpenter;Marie Avgeropoulos;Anja Savcic;Shawn Roberts;Jared Keeso;Andrea Savage
Youth in Revolt;Michael Cera;Zach Galifianakis;Justin Long;Ray Liotta;Steve Buscemi;Ari Graynor;Portia Doubleday;Rooney Mara;Erik Knudsen;Adhir Kalyan
The Legend of the Lone Ranger;Christopher Lloyd;Matt Clark;Juanin Clay;Jason Robards;John Bennett Perry;David Hayward;Richard Farnsworth;Marc Gilpin;John Hart;Klinton Spilsbury
The Tailor of Panama;Pierce Brosnan;Geoffrey Rush;Jamie Lee Curtis;Leonor Varela;Brendan Gleeson;Harold Pinter;Catherine McCormack;Daniel Radcliffe;Lola Boorman;Mark Margolis
Getaway;Ethan Hawke;Selena Gomez;Jon Voight;Paul Freeman;Bruce Payne;Rebecca Budig;Dimo Alexiev;Velislav Pavlov;Dejan Angelov;Peewee Piemonte
The Ice Storm;Kevin Kline;Joan Allen;Sigourney Weaver;Henry Czerny;Tobey Maguire;Christina Ricci;Elijah Wood;Adam Hann-Byrd;David Krumholtz;Jamey Sheridan
And So It Goes;Michael Douglas;Diane Keaton;Sterling Jerins;Frances Sternhagen;Frankie Valli;Andy Karl;Mina Mirkhah;Alvin Crawford;Meryl Williams;David Aaron Baker
Troop Beverly Hills;Shelley Long;Craig T. Nelson;Betty Thomas;Mary Gross;Carla Gugino;Kellie Martin;Jenny Lewis;Karen Kopins;Ami Foster;Ramon Sison
